,author,title,datepublished,isbn13,Title,Author,PublishedDate,ISBN13
0,,,,,Bel Mooney's Somerset,['Bel Mooney'],2012,9781448209811
1,,,,,The Windsurf Boy,['Bel Mooney'],2013,9781448211258
2,,,,,Bel Mooney Pack 1,['Bel Mooney'],2003,9781844216291
3,,,,,The Fourth of July,['Bel Mooney'],2013,9781448210909
4,,,,,Bel Mooney's Lifelines,['Bel Mooney'],2015,9781849549684
5,,,,,The Year of the Child,['Bel Mooney'],2013,9781448211265
6,,,,,Bel Mooney: Pack 3,['Bel Mooney'],2003,9781844216314
7,,,,,Lost Footsteps,['Bel Mooney'],2012,9781448209828
8,,,,,The Anderson Question,['Bel Mooney'],2012,9781448210534
9,,,,,A Small Dog Saved My Life,['Bel Mooney'],2011,9780007427222
10,,,,,"Oh, Kitty!","['Bel Mooney', 'Margaret Chamberlain']",2008,9781405240420
11,,,,,I Can't Find It!,['Bel Mooney'],2002,9780749748258
12,,,,,Small Dogs Can Save Your Life,['Bel Mooney'],2010,9780007318704
13,,,,,Goodbye Pet & See You in Heaven,['Bel Mooney'],2016,9781785901546
14,,,,,Intimate Letters,['Bel Mooney'],1997,9780316640565
15,,,,,The Voices of Silence,['Bel Mooney'],1998,9780440227588
16,,,,,Who Loves Mr. Tubs?,['Bel Mooney'],2016,9781405282055
17,,,,,You Never Did Learn to Knock,['Bel Mooney'],2006,9780753458778
18,,,,,Mr Tubs is Lost!,"['Bel Mooney', 'Margaret Chamberlain']",2004,9781405205863
19,,,,,Sleuth,['Philip Mould'],2011,9780007319152
20,,,,,The Art Detective,['Philip Mould'],2010,9781101434802
21,,,,,The Trail of Lot 163,['Philip Mould'],1997,9781857025231
22,,,,,"Understanding Show, Don't Tell: And Really Getting It",['Janice Hardy'],2016,9780991536436
23,,,,,Understanding Conflict: (And What It Really Means),['Janice Hardy'],2017,9780991536481
24,,,,,Revising Your Novel: First Draft to Finished Draft: A Step-By-Step Guide to Revising Your Novel,['Janice Hardy'],2016,9780991536450
25,,,,,The Healing Wars: Book III: Darkfall,['Janice Hardy'],2011,9780062093349
26,,,,,Plannng Your Novel,['Janice Hardy'],2014,9780991536412
27,,,,,"Blue Fire (The Healing Wars, Book 2)",['Janice Hardy'],2011,9780007352401
28,,,,,Planning Your Novel: Ideas and Structure Workbook: A Companion Book to Planning Your Novel: Ideas and Structure,['Janice Hardy'],2016,9780991536429
29,,,,,The Healing Wars: Book II: Blue Fire,['Janice Hardy'],2010,9780062012708
30,,,,,The Healing Wars: Book I: The Shifter,['Janice Hardy'],2009,9780061949579
31,,,,,Fixing Your Character and Point of View Problems: Revising Your Novel: Book One,['Janice Hardy'],2018,9781948305914
32,,,,,The Pain Merchants,['Janice Hardy'],2010,9780007326792
33,,,,,Fixing Your Setting and Description Problems,['Janice Hardy'],2018,9781948305952
34,,,,,Shifter #2,['Janice Hardy'],2010,9780061761782
35,,,,,Revising Your Novel,['Janice Hardy'],2016,9781386579182
36,,,,,Fixing Your Plot and Story Structure Problems,['Janice Hardy'],2018,9781948305938
37,,,,,"Darkfall (The Healing Wars, Book 3)",['Janice Hardy'],2013,9780007550951
38,,,,,Blood Ties,['Janice Hardy'],2018,9781948305990
39,,,,,The Mills & Boon Ultimate Christmas Collection,"['Rebecca Raisin', 'Sharon Kendrick', 'Maisey Yates', 'Michelle Smart', 'Lynne Graham', 'Scarlet Wilson', 'Tina Beckett', 'Louisa George', 'Catherine Mann', 'Kat Cantrell', 'Sophie Pembroke', 'Jules Bennett', 'Kate Hardy', 'Denise Lynn', 'Sue MacKay', 'Amanda McCabe', 'Olivia Miles', 'Sarah Morgan', ""Annie O'Neil"", 'Janice Preston', 'Alison Roberts', 'Cathy Gillen Thacker', 'Rachael Thomas', 'Liz Tyner', 'Tawny Weber', 'Maggie Conway']",2018,9781474095891
40,,,,,The Finding Forever And Secrets And Seduction Collection,"['Caroline Anderson', 'Carol Marinelli', 'Margaret McDonagh', 'Anne Fraser', 'Alison Roberts', 'Kate Hardy', 'Maggie Kingsley', 'Sarah Morgan', 'Josie Metcalfe', 'Jennifer Taylor', 'Sarah M. Anderson', 'Kat Cantrell', 'HelenKay Dimon', 'Brenda Jackson', 'Abby Kendrick', 'Andrea Laurence', 'Catherine Mann', 'Janice Maynard', 'Abby Milburne', 'Reese Ryan', 'Gill Sanderson', 'Abby Schield', 'Abby Williams', 'Rachael Stewart', 'Naima Simone']",2022,9780008926182
41,,,,,"Predictably Irrational, Revised",['Dan Ariely'],2010,9780062018205
42,,,,,Payoff,['Dan Ariely'],2016,9781501120046
43,,,,,"Predictably Irrational, Revised and Expanded Edition",['Dan Ariely'],2010,9780061353246
44,,,,,Dollars and Sense,"['Dr. Dan Ariely', 'Jeff Kreisler']",2017,9780062651228
45,,,,,Amazing Decisions,['Dan Ariely'],2019,9781466899544
46,,,,,Predictably Irrational,['Dan Ariely'],2008,9780061353239
47,,,,,The Upside of Irrationality (Enhanced Edition),['Dr. Dan Ariely'],2010,9780062070036
48,,,,,The Irrational Bundle,['Dr. Dan Ariely'],2013,9780062288745
49,,,,,The Honest Truth About Dishonesty,['Dan Ariely'],2013,9780062183613
50,,,,,The (Honest) Truth About Dishonesty: How We Lie to Everyone – Especially Ourselves,['Dan Ariely'],2012,9780007477340
51,,,,,The Upside of Irrationality,['Dr. Dan Ariely'],2011,9780062086440
52,,,,,The Upside of Irrationality,['Dan Ariely'],2011,9780007431816
