,author,title,datepublished,isbn13
0,['Susan Arnout Smith'],Out at Night,2009,9780007342877
1,['Susan Arnout Smith'],The Timer Game,2008,9780007265176
2,"['Susan Arnout', 'Susan Arnout Smith']",The Frozen Lady,1983,9780877953685
3,"['Susan Arnout Smith', 'Alexandra Faus']",Todessaat,2010,9783442465026
4,['Susan Arnout'],The Frozen Lady,1984,9780821713389
5,['Susan Arnout Smith'],Timer Game - Spiel auf Zeit,2009,9783641029548
6,['Susan Arnout Smith'],Il gioco di Grace,2008,9788854112650
7,['Susan Arnout Smith'],Timer Game - Spiel auf Zeit,2009,9783442465019
8,"['Smith Susan Arnout', '史密斯', '栖子 ((英語, 1976-))']",計時遊戲,2009,9789861853741
9,['Susan Sleeper-Smith'],Indigenous Prosperity and American Conquest,2018,9781469640594
10,['Bel Mooney'],Bel Mooney's Somerset,2012,9781448209811
11,['Bel Mooney'],Bel Mooney's Lifelines,2015,9781849549684
12,['Bel Mooney'],The Fourth of July,2013,9781448210909
13,['Bel Mooney'],Bel Mooney Pack 1,2003,9781844216291
14,['Bel Mooney'],The Windsurf Boy,2013,9781448211258
15,['Bel Mooney'],Lost Footsteps,2012,9781448209828
16,['Bel Mooney'],The Year of the Child,2013,9781448211265
17,['Bel Mooney'],Bel Mooney: Pack 3,2003,9781844216314
18,['Bel Mooney'],The Anderson Question,2012,9781448210534
19,['Bel Mooney'],A Small Dog Saved My Life,2011,9780007427215
20,['Bel Mooney'],Intimate Letters,1998,9780751522617
21,['Bel Mooney'],Small Dogs Can Save Your Life,2010,9780007318704
22,['Bel Mooney'],Goodbye Pet & See You in Heaven,2016,9781785901546
23,['Bel Mooney'],I Can't Find It!,2002,9780749748258
24,['Bel Mooney'],The Voices of Silence,1998,9780440227588
25,"['Bel Mooney', 'Margaret Chamberlain']",Mr Tubs is Lost!,2004,9781405205863
26,['Bel Mooney'],You Never Did Learn to Knock,2006,9780753458778
27,['Bel Mooney'],I Know!,1991,9781405203708
28,['Dan Ariely'],Payoff,2016,9781501120046
29,['Dan Ariely'],"Predictably Irrational, Revised",2010,9780062018205
30,['Dan Ariely'],"Predictably Irrational, Revised and Expanded Edition",2010,9780061353246
31,['Dan Ariely'],Amazing Decisions,2019,9781466899544
32,['Dr. Dan Ariely'],The Upside of Irrationality (Enhanced Edition),2010,9780062070036
33,['Dan Ariely'],Predictably Irrational,2008,9780061353239
34,"['Dr. Dan Ariely', 'Jeff Kreisler']",Dollars and Sense,2017,9780062651228
35,['Dr. Dan Ariely'],The Irrational Bundle,2013,9780062288745
36,['Dan Ariely'],The (Honest) Truth About Dishonesty: How We Lie to Everyone – Especially Ourselves,2012,9780007477340
37,['Dan Ariely'],The Honest Truth About Dishonesty,2013,9780062183613
38,['Laline Paull'],The Bees,2014,9781443433600
39,['Laline Paull'],The Ice,2018,9780007557776
40,['Laline Paull'],Pod,2023,9781472156624
41,['Laline Paull'],Pod,2023,9781639363728
42,['Laline Paull'],The Bees,2015,9780007557745
43,"['C. Laline Paull', 'Audrey Bazin', 'Melissa Mathison']",Jeff Kowatch,2009,9789090237015
44,['Laline Paull'],Die Bienen,2016,9783426304785
45,['Laline Paull'],Las abejas,2014,9788415709626
46,['Laline Paull'],Das Eis,2018,9783608110463
47,['Laline Paull'],Bees. La fortezza delle api,2015,9788869183744
48,"['Gordon Cooper', 'Bruce Henderson']",Leap of Faith,2018,9781504054232
49,['Bruce B. Henderson'],Trace Evidence,2013,9780989467513
50,"['Carol Simpson Stern', 'Bruce Henderson']",Learning to Perform,2010,9780810126671
51,['Bruce Henderson'],"True North: Peary, Cook, and the Race to the Pole",2006,9780393327380
52,['Bruce Henderson'],Down to the Sea,2009,9780061866531
53,['Bruce Henderson'],Fatal North,2018,9780795352133
54,['Bruce Henderson'],Fatal North,2014,9780989467544
55,['Bruce Henderson'],TRACE EVIDENCE,1998,9780684807089
56,['Bruce Henderson'],Ghetto Cops,2018,9780795352140
57,['Bruce Henderson'],Bridge to the Sun,2022,9780525655824
58,['Rebecca F Kuang'],Yellowface,2024,9780008532819
59,['R.F. Kuang'],The Dragon Republic,2020,9780008455200
60,['Rebecca Kuang'],The Poppy War,2018,9780008239817
61,['Rebecca F. Kuang'],"Babel, Or, The Necessity of Violence",2022,9780063294189
62,['Rebecca F. Kuang'],Babel,2023,9788379648771
63,['Rebecca F. Kuang'],Yellowface,2024,9783751755634
64,['Rebecca F. Kuang'],Poncy bg,2021,9788379646487
65,['Rebecca F. Kuang'],Babel,2023,9783751748384
66,['Lou Berney'],November Road,2018,9780008309367
67,['Lou Berney'],Dark Ride,2023,9780062663863
68,['Lou Berney'],Whiplash River,2012,9780062115294
69,['Lou Berney'],The Long and Faraway Gone,2015,9780062292445
70,['Lou Berney'],Gutshot Straight,2010,9780061963469
71,['Lou Berney'],Gutshot Straight with Bonus Excerpt,2012,9780062213228
72,['Lou Berney'],Double Barrel Bluff,2017,9780062292490
73,['Lou Berney'],Destination Dallas,2019,9783959672702
74,['Lou Berney'],Destination Dallas,2019,9783959678247
75,['Lou Berney'],Seuls les vivants,2021,9791033911494
76,['Lou Berney'],Dark Ride,2024,9780008657147
77,['Lou Berney'],November Road (version française),2019,9791033903567
78,['Lou Berney'],Estradas de outono,2019,9788491392941
79,['Berney Lou Golden'],Effect of Estrogen (Theelin) Upon the Survival Time of Adrenalectomized Guinea Pigs,2021,9781013609015
80,"['Mary Lou Sole', 'Deborah G. Klein', 'Marthe J. Moseley']",Introduction to Critical Care Nursing6,2013,9780323088480
81,"['Mary Lou Sole', 'Deborah Goldenberg Klein', 'Marthe J. Moseley']",Introduction to Critical Care Nursing,2013,9780323294027
82,['Harry Sidebottom'],The Amber Road,2014,9781468309232
83,['HARRY. SIDEBOTTOM'],RETURN.,2020,9781785769634
84,['Harry Sidebottom'],Fire & Sword,2017,9781468315295
85,['Harry Sidebottom'],Lion of the Sun,2011,9781590208724
86,['Harry Sidebottom'],Iron and Rust,2020,9780008449469
