,Author,Title,PublishedDate,ISBN13
0,['Terry Spear'],The Best of Both Wolves,2022,9781728228822
1,['Terry Spear'],Savage Hunger,2012,9781402266935
2,['Terry Spear'],Heart of the Wolf,2008,9781402233852
3,['Terry Spear'],Highland Rake,2012,9781480259034
4,['Terry Spear'],Terry Spear’s Wolf Bundle,2010,9781402262401
5,['Terry Spear'],While the Wolf's Away,2022,9781728246369
6,['Terry Spear'],You Had Me at Wolf,2020,9781492697763
7,['Terry Spear'],You Had Me at Jaguar,2019,9781492677277
8,['Terry Spear'],Wolf on the Wild Side,2023,9781728265018
9,['Terry Spear'],Dreaming of a White Wolf Christmas,2017,9781492645184
10,['Terry Spear'],Loving the White Bear,2017,9781633110175
11,['Terry Spear'],Silence of the Wolf,2014,9781402266904
12,['Terry Spear'],Alpha Wolf Need Not Apply,2016,9781492621874
13,['Terry Spear'],A Highland Werewolf Wedding,2013,9781402266843
14,['Terry Spear'],A United Force Shifter Christmas,2022,9781633110823
15,['Courtney Stevens'],Four Three Two One,2018,9780062398567
16,['Courtney Stevens'],Dress Codes for Small Towns,2017,9780062398536
17,['Courtney Stevens'],The Lies About Truth,2015,9780062245434
18,['Courtney C. Stevens'],Faking Normal,2014,9780062245403
19,['Courtney C. Stevens'],The Blue-Haired Boy,2014,9780062295170
20,"['Courtney McKay Stevens', 'Ronald Lansley']",Strong Highland Women,2013,9781484925805
21,"['Lawrence Silver', 'Robert Stevens', 'Courtney Kernek', 'Bruce Bruce', 'David Loudon']","The Essentials of Business Research, Second Edition (Instructor's Review Copy-NOT for RESALE)",2017,9781942041511
22,"['Lawrence Silver', 'Robert Stevens', 'Courtney Kernek', 'Bruce Bruce', 'David Loudon']","The Essentials of Business Research, Second Edition (LLF-B/W)",2017,9781942041498
23,"['Lawrence Silver', 'Robert Stevens', 'Courtney Kernek', 'Bruce Bruce', 'David Loudon']","The Essentials of Business Research, Second Edition (Paperback-4C)",2017,9781942041474
24,"['Megan Kaminski', 'Courtney Masterson', 'Gary Jackson', 'Gwendolyn Brooks', 'C. A. Conrad', 'Canese Jarboe', 'Aubrey Streit-Krug', 'R. B. Lemberg', 'Huascar Medina', 'Janice Northerns', 'James Thomas Stevens', 'Wyatt Townley']",Wild Words,2023,9798218181901
25,"['Lawrence Silver', 'Robert Stevens', 'Courtney Kernek', 'Bruce Bruce', 'David Loudon']","The Essentials of Business Research, Second Edition (Paperback-B/W)",2017,9781942041481
26,"['Lawrence Silver', 'Robert Stevens', 'Courtney Kernek', 'Bruce Bruce', 'David Loudon']","The Essentials of Business Research, Third Edition (Instructor's Review Copy-NOT for RESALE)",2021,9781955543026
27,"['Lawrence Silver', 'Robert Stevens', 'Courtney Kernek', 'Bruce Bruce', 'David Loudon']","The Essentials of Business Research, Third Edition (Paperback-4C)",2021,9781950377961
28,"['Lawrence Silver', 'Robert Stevens', 'Courtney Kernek', 'Bruce Bruce', 'David Loudon']","The Essentials of Business Research, Third Edition (Paperback-B/W)",2021,9781950377978
29,"['Lawrence Silver', 'Robert Stevens', 'Courtney Kernek', 'Bruce Bruce', 'David Loudon']","The Essentials of Business Research, Third Edition (LLF-B/W)",2021,9781950377985
30,['Courtney A. Stevens'],Promoting Ethical Consumption Behavior Through Spaces Constructed by Collective Actions and Pre-existing Values,2008,9781109180749
31,['Dale M. Courtney'],Moon People 2,2009,9781436372305
32,['Courtney Milan'],The Duchess War,2012,9781937248093
33,['Courtney Milan'],The Brothers Sinister,2015,9781937248581
34,['Courtney Milan'],Historical Romance: Skandal Sang Duchess (The Duchess War),2016,9786020332901
35,"['Lenore Shoults', 'Lisa Farrington', 'Curlee Raven Holton']",Here.,2016,9781530775255
36,['Courtney Ella Hrabik'],One Year,2011,9781453696408
37,['Courtney Psak'],Thirty Days to Thirty,2015,9780996815918
38,['Courtney Oliver'],THE AUDACITY TO BE EMPOWERED,2023,9781312556737
39,"['Courtney Dorroll', 'Philip Dorroll']",Spatial Politics in Istanbul,2025,9781399503389
40,['Julia Courtney'],Robert Baden-Powell,1990,9780836802146
41,['Julia Courtney'],Sir Peter Scott,1989,9781555328191
42,"['Courtney Joyce Walter', 'John Kenneth Stevens', '方振宇', '王玲']",老外都醬說! 生活英語,2016,9789868959774
43,['Courtney Stevens'],Sprawy do zapomnienia,2016,9788324157013
44,['Courtney Milan'],A Guerra da Duquesa,2017,9789892337364
45,['Courtney Milan'],La guerra de la duquesa,2014,9781937248383
46,['Courtney C. Stevens'],Czy musimy udawac?,2016,9788324160396
47,['Courtney A. Short'],Uniquely Okinawan,2020,9780823288403
48,['Courtney Milan'],In guerra e in amore (I Romanzi Classic),2022,9788835717676
49,['John C. Courtney'],Do Conventions Matter?,1995,9780773565692
50,['Courtney Marchese'],Information Design for the Common Good,2021,9781350117280
51,"['Ian C. Bishop', 'Ian Courtney Bishop']",The Gibson Guitar from 1950,1990,9780933224469
52,"['Robert J. Mason', 'V.Courtney Broaddus', 'Thomas R Martin', 'Talmadge E King', 'Dean Schraufnagel', 'John F. Murray', 'Jay A. Nadel']",Murray and Nadel's Textbook of Respiratory Medicine E-Book,2010,9781437735536
53,"['Lisa Harper', 'Karen Ehman', 'Bianca Juarez Olthoff', 'Chrystal Evans Hurst', 'Margaret Feinberg', 'Courtney Joseph']",Twelve More Women of the Bible Study Guide,2016,9780310081470
54,['Courtney McInvale'],Revolutionary War Ghosts of Connecticut,2013,9781625857156
55,"['Chris Bogle', 'Tessa Swackhammer', 'Kasandra Ferguson', 'Aoife Esmonde', 'Sandy Parsons', 'Samuel Skuse', 'Daniel Ray', 'Courtney Smyth', 'Mei Davis', 'Helena Pantsis', 'Holden Wertheimer-Meier', 'Brigitte de Valk', 'Liz Ulin', 'Jamie Perrault', 'Liza Wieland']",The Last Five Minutes of a Storm,2022,9798830482189
56,['Courtney Maum'],Touch,2017,9780735212138
57,"['Courtney N. Plante', 'Stephen Reysen', 'Thomas R. Brooks', 'Daniel Chadborn']",CAPE,2021,9780997628821
58,"['Drew Gitomer', 'Courtney Bell']",Handbook of Research on Teaching,2016,9780935302554
59,['C. Courtney Joyner'],The Westerners,2015,9780786455683
60,['Courtney Milan'],A Kiss for Midwinter,2012,9781937248109
61,"['Andrej Spec', 'Gerome V. Escota', 'Courtney Chrisler', 'Bethany Davies']",Comprehensive Review of Infectious Diseases,2019,9780323568647
62,['Courtney Milan'],A Novella Collection,2014,9781937248130
63,['Courtney M. Block'],The Encyclopedia of Parapsychology,2022,9781538155462
64,['Courtney Michelle Smith'],Ed Bolden and Black Baseball in Philadelphia,2017,9781476627434
65,['Susan Courtney'],Hollywood Fantasies of Miscegenation,2021,9780691240220
66,"['Nicholas T. Lappas', 'Courtney M. Lappas']",Forensic Toxicology,2021,9780128192870
67,"['Courtney M. Townsend', 'R. Daniel Beauchamp', 'B. Mark Evers', 'Kenneth L. Mattox']",Sabiston Textbook of Surgery E-Book,2012,9781455738083
68,"['Courtney M. Townsend Jr.', 'R. Daniel Beauchamp', 'B. Mark Evers', 'Kenneth L. Mattox']",Sabiston Textbook of Surgery E-Book,2015,9780323397476
69,['Wayne Courtney'],Contractual Indemnities,2014,9781782253891
70,['Tom Courtney'],Walkabout Northern California,2019,9780899978918
71,"['Courtney C. Coile', 'Phillip B. Levine']",Reconsidering Retirement,2010,9780815705000
72,['Frances Courtney Carrington'],My Army Life and the Fort Phil Kearny Massacre,2004,9780803264434
73,['John C. Courtney'],Commissioned Ridings,2001,9780773569430
74,['Courtney Szto'],Changing on the Fly,2020,9781978807952
75,"['Jane Tyerman', 'Shelley Cobbett', 'Mariann M. Harding', 'Jeffrey Kwong', 'Dottie Roberts', 'Debra Hagler', 'Courtney Reinisch']",Lewis's Medical-Surgical Nursing in Canada - E-Book,2022,9780323791571
76,"['Richard J. Watts', 'Amy L. Teel', 'Courtney M. Gardner']",Hazardous Wastes,2023,9781119634065
77,"['Mariann M. Harding', 'Jeffrey Kwong', 'Dottie Roberts', 'Debra Hagler', 'Courtney Reinisch']",Lewis's Medical-Surgical Nursing E-Book,2019,9780323595186
78,['P Maxwell Courtney'],Recent Advances in Orthopedics - 2,2018,9789352702879
79,['Courtney D. Gifford'],Directory of U. S. Labor Organizations,1997,9781570180811
80,"['Courtney Hunt', 'Monty Lynn']",Instructor's Resource Guide to Accompany Organizations,2000,9780072295887
81,"['Courtney Long', 'Long']",Love Awaits,1996,9780553375596
82,['Bridget Heos'],Stegothesaurus,2018,9781250134882
83,['Bridget Heos'],Let's Meet a Doctor,2017,9781512477641
84,['Bridget Heos'],Let's Meet a Dentist,2017,9781512477634
85,['Bridget Heos'],Let's Meet a Teacher,2017,9781512477733
86,['Bridget Heos'],I'm a Virus!,2022,9780593302958
87,['Bridget Heos'],Let's Meet a Construction Worker,2017,9781512477610
88,['Bridget Heos'],It's Getting Hot in Here,2016,9780544750593
89,['Bridget Heos'],Santa Jaws,2021,9781250861436
90,['Bridget Heos'],Mustache Baby Meets His Match,2015,9780544363755
91,['Bridget Heos'],Treemendous,2021,9780525579366
92,['Bridget Heos'],Triceratopposite,2021,9781250834133
93,['Bridget Heos'],I'm a Volcano!,2022,9780593302880
94,['Bridget Heos'],"Good Knight, Mustache Baby",2021,9780358434689
95,['Bridget Heos'],Just Like Us! Birds,2017,9780544570443
96,['Bridget Heos'],At the Eleventh Hour,2012,9781467700795
97,['Bridget Heos'],Teachers in My Community,2018,9781541527102
98,['Bridget Heos'],"Just Like Us!, Cats",2019,9781328791849
99,['Bridget Heos'],Mustache Baby,2013,9780547773995
100,['Bridget Heos'],Construction Workers in My Community,2018,9781541527058
101,['Bridget Heos'],Doctors in My Community,2018,9781541527065
102,['Bridget Heos'],Fairy's First Day Of School,2018,9781328549419
103,['Bridget Heos'],Who Wants to Be a Pirate?,2019,9781250765918
104,['Bridget Heos'],A Mustache Baby Christmas,2019,9781328506535
105,['Bridget Heos'],Just Like Us! Ants,2017,9780544570436
106,['Bridget Heos'],"Blood, Bullets, and Bones",2016,9780062387646
107,['Bridget Heos'],A Mustache Baby Christmas,2020,9780358362678
108,['Bridget Heos'],Stronger Than Steel,2013,9780547681269
