,Author,Title,PublishedDate,ISBN13
0,['Sarah Owen'],The Complete guide to pregnancy and child care - The baby manual - PART ONE,2015,9781326205096
1,['Sarah Hoggett'],1000 Birds,2017,9780785835769
2,"['Sarah Swanson', 'Max Smith']",Must-See Birds of the Pacific Northwest,2013,9781604693379
3,['Sarah Zimmerman'],The Romantic Literary Lecture in Britain,2019,9780192569554
4,['Sarah Brewer'],Planning A Baby?,2010,9781409034544
5,['Sarah Attwood'],Making Sense of Sex,2008,9781846427978
6,"['Richard Thomas', 'Sarah Thomas', 'David Andrew', 'Alan McBride']",The Complete Guide to Finding the Birds of Australia,2011,9780643102262
7,"['Sarah Bekaert', 'Phil Bright']",Women's Health,2018,9781498790642
8,['Veronica Gustafsson'],Entrepreneurial Decision-making,2006,9781781958773
9,"['Veronica Coulshed', 'Audrey Mullender', 'David N. Jones', 'Neil Thompson']",Management in Social Work,2018,9781137285416
10,"['veronica scuotto', 'nicola farronato']",Love in the Start-Up Era,2021,9780473568184
11,['Veronica Binda'],The Dynamics of Big Business,2013,9781134063352
12,['Veronica Gago'],Feminist International,2020,9781788739696
13,['Marion Gilroy'],Loyalists and Land Settlement in Nova Scotia,2009,9780806345987
14,['Marion Day Mullins'],Republic of Texas: Poll Lists for 1846,1974,9780806305981
15,"['Brian K. Payne', 'Willard M. Oliver', 'Nancy E. Marion']",Introduction to Criminal Justice,2017,9781506389714
16,['Zenda M. Walker'],Zara's Wash Day Coloring & Activity Book,2022,9781736277874
17,['E. F. Schraeder'],Judy Garland Is Not a Sunrise,2023,9798888381335
18,['Lycan Press'],Simple Things,2016,9781539839248
19,['E. F. Schraeder'],The Price of a Small Hot Fire,2023,9781947879614
20,"['Dennis E. Hensley', 'E. F. Schraeder', 'M. B. Manteufel']",Mystery Weekly Magazine: November 2018,2018,9781728819051
21,['E. F. Schraeder'],Liar,2021,9781949054347
22,['E. F. Schraeder'],Ghastly Tales of Gaiety and Greed,2020,9781949054248
23,['E. F. Schraeder'],What Happened Was Impossible,2023,9781943720859
24,['Elaine Schleiffer'],In Trouble,2023,9781949054491
25,['E. F. Schraeder'],The Hunger Tree,2013,9781622293599
