,Author,Title,PublishedDate,ISBN13
0,Jussi Adler-Olsen,The Shadow Murders,2022-09-27,9781524742584
1,Jussi Adler-Olsen,The Shadow Murders,2022-09-27,9781786486226
2,Jonny Zucker,Mission 5: Subzero,2013-11-01,9781467733144
3,Felix Franks,Water and Aqueous Solutions at Subzero Temperatures,2013-11-11,9781475769524
4,Adam Crettenden,Subzero,2016-10-31,9780143782094
5,Felipe Pena,Geração subzero,2012-01-01,9788501099143
6,Michael Teitelbaum,"Ice Age: Chills, Thrills, and Spills",2002-02-05,9780060938161
7,Cambria Hebert,Subzero,2018-10-13,9781946836229
8,Michael Teitelbaum,"Chills, Thrills, and Spills",2002-02-01,9780613977920
9,SubzeroYMU Notebook,Notebook,2019-12-21,9781678777920
10,James Raven,Subzero,1997,9780316176965
11,Jeung Hwan Choi,Determination of Thermal Properties in the Subzero Temperature Domain and Its Applications for Cryobiological Studies,2008,9780549871569
12,Golden Books Staff,Batman and Mr. Freeze,1997,9780307084354
13,Felix Franks,Water and Aqueous Solutions at Subzero Temperatures,2014-01-15,9781475769531
14,I. love game forever,Notebook,2020-03-02,9798620622498
15,MortalIg Notebook,Notebook,2019-12-11,9781674218762
16,Engelbert Uri,Notebook,2020-03-17,9798626958508
17,Lykke Olsen,Composition Notebook,2020-04-08,9798635311783
18,Shelagh Canning,Batman and Mr. Freeze,1997,9780307129789
19,SubzeroFFz Notebook,Notebook,2019-12-21,9781679006067
20,Kate Michaelson,Hidden Rooms,2024-04-30,9780744310153
21,Charlene Allen,Knowing the Hidden Rooms of Your Soul,2019-11-19,9781709774713
22,Terry Mayer,Secret Bases and Hidden Rooms,2014-12-17,9781505598254
23,Andrew Berardini,Bernd Oppl,2020-02-18,9783903320154
24,Tom Mahl,The Secret Staircse:,2023-07,9780978628499
25,S. J. Varengo,Many Hidden Rooms,2017-06-20,9781546970200
26,Terry Mayer,Minecraft Expert,2014-08-24,9781500934699
27,Jacques Dorsan,The Clockwise House System,2011-06,9781584201021
