,author_searched,author,title,datepublished,isbn13
0,Susan Arnout Smith,Susan Arnout Smith,Timer Game,,9781429955720
1,Susan Arnout Smith,Susan Arnout Smith,The Timer Game,,9780007265176
2,Susan Arnout Smith,"Smith, Susan Arnout","The Timer Game (Grace Descanso, Book 1)",,9780312368333
3,Susan Arnout Smith,Susan Arnout Smith,Out at Night,,9780007289721
4,Susan Arnout Smith,Susan Arnout Smith,THE TIMER GAME [Paperback] by Susan Arnout Smith,,9780007841516
5,Susan Arnout Smith,Smith Susan Arnout,The Timer Game,,9780007265190
6,Susan Arnout Smith,Susan Arnout Smith,Out At Night (a Grace Descanso Novel),,9780312368340
7,Susan Arnout Smith,"Smith, Susan Arnout",Todessaat: Thriller,,9783442465026
8,Susan Arnout Smith,Susan Arnout Smith,Timer Game,,9780007390786
9,Susan Arnout Smith,Susan Arnout Smith,Il Gioco Di Grace,,9788854112650
10,Susan Arnout Smith,"Smith, Susan Arnout",Out at Night,,9780007275519
11,Susan Arnout Smith,Susan Arnout Smith,Out At Night,,9780007342877
12,Bel Mooney,"Mooney, Bel",Why not?,,9780416158823
13,Bel Mooney,Bel Mooney,I Don't Want To! (Kitty and Friends) (Kitty & Friends),,9780749748241
14,Bel Mooney,"Mooney, Bel",Big Dog Bonnie,,9781406351163
15,Bel Mooney,Bel Mooney,I Don't Want To! (storytapes),,9781855498501
16,Bel Mooney,"Mooney, Bel",The Voices of Silence,,9781406307276
17,Bel Mooney,"Mooney, Bel",I Can't Find It! (Cover to Cover Storytapes),,9781855498518
18,Bel Mooney,"Mooney, Bel",The Anderson Question,,9780241114568
19,Bel Mooney,Bel Mooney,I Wish!,,9780416190984
20,Bel Mooney,"Mooney, Bel",Blue Banana: I Don't Want to Say Yes (Blue Bananas),,9781405201384
21,Bel Mooney,"Mooney, Bel",It's Not My Fault!: No.11,,9781405203852
22,Bel Mooney,Bel Mooney,I Know! (Kitty and Friends) (Kitty & Friends),,9781405203708
23,Bel Mooney,"Mooney, Bel",The Voices of Silence,,9780749726447
24,Bel Mooney,"Mooney, Bel",The Year of the Child,,9781448211265
25,Bel Mooney,Bel Mooney,"Like Mother, Like Daughter?",,9780753411469
26,Bel Mooney,"Mooney, Bel",It's Not Fair! (Kitty and Friends) (Kitty & Friends),,9780749748265
27,Bel Mooney,"Mooney, Bel",Bel Mooney's Somerset,,9781448209811
28,Bel Mooney,"Mooney, Bel",Intimate Letters,,9780751522617
29,Bel Mooney,Bel Mooney,It's Not Fair!,,9781855498525
30,Bel Mooney,"Mooney, Bel",The Invasion of Sand,,9780727891570
31,Bel Mooney,"Mooney, Bel",Mr. Tubs Is Lost (Banana Storybooks: Blue),,9780778709046
32,Bel Mooney,"Mooney, Bel",The Stove Haunting,,9780395467640
33,Bel Mooney,Bel Mooney,Bel Mooney's Lifelines: Words to Help You Through,,9781849549325
34,Bel Mooney,"Mooney, Bel",I Can't Find It! (Kitty and Friends) (Kitty & Friends),,9780749748258
35,Bel Mooney,"Mooney, Bel",Who Loves Mr Tubs? (Reading Ladder),,9781405282055
36,Bel Mooney,"Mooney, Bel",Invasion of Sand,,9780727863188
37,Bel Mooney,Bel Mooney,Devout Sceptics,,9780340862025
38,Bel Mooney,"Mooney, Bel",The Voices of Silence,,9780440227588
39,Bel Mooney,Bel Mooney,"Pétula, La Petite Chienne Aux Idées Géantes",,9782070695249
40,Bel Mooney,Bel Mooney,Devout Sceptics,,9780340863671
41,Bel Mooney,Bel Mooney,Small Dog Saved My Life,,9780007427215
42,Bel Mooney,"Mooney, Bel",From This Day Forward: An Anthology of Marriage,,9780719547485
43,Bel Mooney,mooney-bel,Busy Dog Bonnie: Racing Reads,,9781406322705
44,Bel Mooney,"Mooney, Bel",Kitty's Friends (Kitty & Friends),,9781405205856
45,Bel Mooney,"Mooney, Bel",The Anderson Question,,9781448210534
46,Bel Mooney,"Mooney, Bel",Small Dogs Can Save Your Life,,9780007318704
47,Bel Mooney,"Mooney, Bel",Flower of Jet,,9780241127360
48,Bel Mooney,"Mooney, Bel",Mr. Tubs Is Lost (Banana Storybooks: Blue),,9780778708582
49,Bel Mooney,Bel Mooney,"Goodbye Pet, and See You in Heaven: A Memoir of Animals, Love and Loss",,9781785902338
50,Bel Mooney,"Mooney, Bel",Lost Footsteps,,9781448209828
51,Bel Mooney,Bel Mooney,But You Promised!,,9781855498532
52,Bel Mooney,Bel Mooney,Voices Of Silence,,9780606138871
53,Bel Mooney,Bel Mooney,A Flower Of Jet,,9780749729554
54,Bel Mooney,"Mooney, Bel",The Voices of Silence,,9781406358278
55,Bel Mooney,Bel Mooney,Un Piccolo Grande Amore,,9788873394013
56,Bel Mooney,Mooney,Kurt Jackson: A New Genre Of Landscape Painting,,9781848221024
57,Bel Mooney,"Mooney, Bel",Brave Dog Bonnie,,9781406313994
58,Bel Mooney,Bel Mooney,Small Dog Saved My Life,,9780007427222
59,Bel Mooney,Bel Mooney,The Stove Haunting,,9780416595505
60,Bel Mooney,Bel Mooney,Intimate Letters,,9780316640565
61,Bel Mooney,"Mooney, Bel",The Windsurf Boy,,9781448211258
62,Bel Mooney,"Mooney, Bel",I Wish! (Kitty and Friends) (Kitty & Friends),,9781405203821
63,Bel Mooney,"Mooney, Bel.",Un piccolo grande amore,,9788820050122
64,Bel Mooney,Bel Mooney,The Windsurf Boy (pavanne Books),,9780330297349
65,Bel Mooney,Bel Mooney,Kitty's Big Ideas (kitty & Friends),,9781405201988
66,Bel Mooney,Bel Mooney,The Fourth Of July,,9780140109900
67,Bel Mooney,"Mooney, Bel",So What! (Kitty and Friends) (Kitty & Friends),,9780749748234
68,Bel Mooney,Bel Mooney,But You Promised!,,9781855495074
69,Bel Mooney,"Mooney, Bel",Perspectives for Living: Conversations on Bereavement and Love,,9780719551253
70,Bel Mooney,"Mooney, Bel",Why Me! (Kitty and Friends) (Kitty & Friends),,9781405203838
71,Bel Mooney,Bel Mooney,I'm Scared! (Kitty and Friends) (Kitty & Friends),,9781405203814
72,Bel Mooney,Bel Mooney,Liza's Yellow Boat,,9780704322684
73,Bel Mooney,"Mooney, Bel",Intimate Letters,,9780754002062
74,Bel Mooney,Bel Mooney,Bel Mooney's Lifelines,,9781849549684
75,Bel Mooney,Bel Mooney,Its So Boring,,9780749716264
76,Bel Mooney,"Mooney, Bel",A Flower of Jet (Puffin Books),,9780140345735
77,Bel Mooney,"Mooney, Bel","Goodbye, Pet & See You In Heaven: A Memoir of Animals, Love and Loss",,9781785900600
78,Bel Mooney,Bel Mooney,Best Dog Bonnie (Walker Racing Reads),,9781406350982
79,Bel Mooney,"Mooney, Bel",The Voices Of Silence (cascades),,9780003303353
80,Bel Mooney,Bel Mooney,Promise You Won't Be Cross (Blue Bananas),,9780749737474
81,Bel Mooney,"Mooney, Bel","Oh, Kitty!: A Bumper Collection of Stories",,9781405240420
