,isbn13,datepublished,totalrevenue,totalunits,price
0,1710174595194.0,2018-02-08,14522,28,772.9215686274509
1,1801075300984.0,2018-02-07,3257,12,593.2857142857143
2,1801075300984.0,2018-02-08,18413,30,962.0689655172414
3,1801245574122.0,2018-03-07,21847,41,819.4545454545455
4,8791370631704.0,2018-04-05,1174835,2974,386.64318529862175
5,9780007281855.0,2019-03-26,516255,1467,588.7161716171618
6,9780007283828.0,2009-01-26,244295,809,322.10224719101126
7,9780007287697.0,2008-09-04,11316,114,182.65573770491804
8,9780007289219.0,2009-01-05,613670,2582,315.9889502762431
9,9780007289233.0,2009-01-05,318806,542,584.5531135531136
10,9780007289240.0,2009-01-05,346082,572,604.5067985166872
11,9780007289257.0,2009-02-02,578835,1168,492.0487012987013
12,9780007289271.0,2009-09-03,170852,722,270.4451530612245
13,9780007289370.0,2010-07-29,464612,1765,318.8792165397171
14,9780007289417.0,2009-02-02,485491,1878,360.6695464362851
15,9780007289417.0,2009-09-23,0,0,799.0
16,9780007289424.0,1970-05-04,0,0,851.0
17,9780007289424.0,2009-05-04,437084,1752,296.3668903803132
18,9780007289448.0,2009-02-02,788244,1548,501.8671875
19,9780007289448.0,2022-06-01,399,1,399.0
20,9780007289486.0,2009-11-12,7857956,26531,317.5406698564593
21,9780007290079.0,2019-05-28,29456,164,674.1875
22,9780007307197.0,2016-09-08,650246,1768,723.399299474606
23,9780007340675.0,2009-08-06,120339,297,400.04624277456645
24,9780007340682.0,2009-08-06,136877,266,505.2202247191011
25,9780007340699.0,2009-08-06,133672,221,603.8814589665653
26,9780007340705.0,2009-08-06,150151,215,688.9594202898551
27,9780007340767.0,2009-08-06,152890,219,696.4479768786127
28,9780007343010.0,2009-10-01,360300,598,607.6779661016949
29,9780007343034.0,2009-10-01,154976,252,646.0077519379845
30,9780007344192.0,2012-01-05,186760,1102,259.3794983642312
31,9780007347674.0,2013-09-19,93363,154,596.5122349102774
32,9780007347681.0,2013-09-19,234571,323,710.0712328767123
33,9780007347759.0,2009-11-01,238322,438,497.209797657082
34,9780007358038.0,2010-01-21,2376,24,110.21428571428571
35,9780007358267.0,2010-02-04,60022,245,243.44159544159544
36,9780007374830.0,2010-05-27,153764,220,698.6675977653631
37,9780007380305.0,2019-04-30,329291,580,1038.212765957447
38,9780007384426.0,2017-10-05,894580,1127,800.8353413654619
39,9780007387205.0,2010-06-10,2060851,2317,884.2975609756097
40,9780007388769.0,2013-08-15,24787,71,341.98039215686276
41,9780007389155.0,2019-10-29,0,0,1830.1176470588234
42,9780007389162.0,2019-05-28,0,0,1213.047619047619
43,9780007389179.0,2019-05-28,85930,150,1175.9285714285713
44,9780007389186.0,2019-05-28,0,0,1774.0227272727273
45,9780007389568.0,2017-07-25,8854,6,1461.0
46,9780007391912.0,2019-05-28,0,0,1498.5
47,9780007402632.0,2010-08-19,406046,748,543.8197278911565
48,9780007420018.0,2017-01-12,786388,526,1457.890052356021
49,9780007427253.0,2011-02-10,130689,186,693.1577287066247
50,9780007435883.0,2011-06-09,112597,161,686.9433962264151
